"Albion Street North","Albion Street South","Briggate","Briggate at McDonalds","Commercial Street at Barratts","Commercial Street at Lush","Dortmund Square","Headrow"
193,237,373,431,283,192,551,303
181,255,398,347,205,88,653,269
209,329,516,326,232,76,497,319
101,201,550,267,230,57,214,244
94,172,440,134,303,62,106,122
28,96,302,144,140,38,89,123
37,107,300,174,54,0,69,79
29,94,227,123,26,3,72,38
5,14,136,87,58,15,31,19
11,53,91,35,27,44,8,12
36,72,70,69,48,70,74,48
99,102,160,119,143,299,76,71
271,168,83,334,831,682,265,246
544,869,489,824,1772,1452,770,528
1400,2203,1197,1410,2535,2285,1738,998
2150,3893,2134,1881,3225,4105,2802,1513
2559,4857,3134,2144,3882,5656,3768,2006
3076,6006,4408,1941,4349,6778,4118,2207
3754,3894,8148,1288,4731,7823,4208,2305
3275,5289,6576,1973,4907,7507,3861,2262
2316,3648,4265,1920,3624,5719,3374,1843
1424,2320,2350,1276,1702,3882,2108,1032
511,820,1025,747,375,966,1093,413
202,248,555,585,235,349,548,433
178,232,356,347,275,282,372,304
212,376,581,390,143,174,718,354
215,395,711,419,277,119,597,372
99,288,801,291,283,73,272,275
124,289,673,294,219,41,234,238
92,161,504,194,88,26,169,177
96,264,425,202,128,40,144,99
91,153,371,163,107,4,140,96
27,79,241,99,11,12,44,42
6,8,89,70,21,18,20,13
4,17,61,31,33,32,18,25
21,24,68,54,28,62,27,34
36,46,94,93,81,99,83,61
102,118,133,223,110,246,202,115
348,379,411,603,530,821,583,403
